COMPANY NAME,Symbol,Company_Age,Log_Issue_Price,Range_Width_pct,Days_to_List,Revenue_CAGR,PAT_CAGR,Avg_Operating_Margin,Avg_ROE_pct,Avg_ROCE_pct,Avg_DE_pct,Avg_Interest_Coverage,Avg_Assets_Turnover,Log_Latest_Revenue
Aether Industries Limited,AETHER,-0.6779661016949152,0.5713479988059134,-0.016444026037892714,0.6666666666666666,-0.14646759012642843,-0.12140279713805471,0.9293223994964597,-0.3056524207282459,-0.3315708418891171,-0.30427966765950765,0.7886600911345678,-0.5759791971396067,-0.29193112616203964
Ajax Engineering Limited,AJAXENGG,0.7457627118644068,0.5537337942175454,-0.5744666665265065,-0.3333333333333333,0.3842407284520087,0.20709509230175346,0.18986357217926014,0.26153596626388786,0.37890143737166326,-0.5639598683179181,7.586722039568553,0.4823663253697383,0.14477547333012467
Akums Drugs and Pharmaceuticals Limited,AKUMS,-0.06779661016949153,0.6195969785544906,-0.3392282142078474,-0.3333333333333333,-0.8699770027518485,4.175655741788722,-0.40990028440694887,-1.5669045495093668,-0.5720910335386722,0.05541620943721602,0.2058602987829498,0.3256947830326669,0.6266745810302379
All Time Plastics Limited,ALLTIME,0.13559322033898305,-0.15801184209666147,1.2040288684735778,-1.0,-0.5168722787718041,-0.30942811682128596,0.026418773483084808,0.10161381883058958,-0.019866529774127333,0.5220515232272565,-0.1050354732652708,0.22233057045343738,-0.7640342549410132
Allied Blenders and Distillers Limited,ABDL,-0.3389830508474576,-0.13946513642407043,-0.02220023314659194,-0.3333333333333333,-0.8736188556627963,7.538912452024319,-0.6603179396977373,-0.9742924337036737,0.4111396303901438,1.5594398286042748,-0.25702255292149734,2.5164960182025027,1.1096887920520362
Anand Rathi Share and Stock Brokers Limited,ARSSBL,0.8135593220338984,0.19373718712376986,0.21211493665872777,-0.3333333333333333,0.016411246875673618,0.01985691578227202,1.2075564592049302,0.14378395912740247,1.3181211498973315,1.502168573966662,-0.22708657783930317,-0.8152120916626036,-0.46245847391795336
Anand Rathi Wealth Limited,ANANDRATHI,0.5423728813559322,0.43818665218144454,-3.5161132898178122,0.6666666666666666,0.4729745541673704,0.1530817315077191,2.0598679200388412,1.7908523234125375,1.7502908966461328,-0.5147358520144222,2.6732998788717772,0.00650089387290753,-0.24883380895747403
Angel Broking Limited,ANGELBRKG,0.4745762711864407,-0.06621326733534823,-11.254051254229907,1.6666666666666667,0.037245957696846216,-0.3014230683248473,1.7829909972603253,1.2288541075338577,1.745225872689938,0.5966974969953497,0.21739632000922882,-0.7372013651877132,0.780679934296009
Anthem Biosciences Limited,ANTHEM,-0.2033898305084746,0.4689345998211799,0.7071717991797543,-0.3333333333333333,-0.3001026217619686,-0.30341232527618806,1.7531168315649805,0.5152055794339468,0.6065537303216976,-0.5170089355698384,3.804406760108438,-0.32114415732163154,0.18698403430730814
Antony Waste Handling Cell Limited,AWHCL,0.13559322033898305,-0.04129500997858227,-11.254051254229907,1.0,-0.4708510009952312,-0.4915034920073124,0.23305567947322087,-0.13405238828967647,-0.37633470225872695,0.18406098134503865,-0.12383918786410561,-0.32439460425808536,-0.375340271100626
Anupam Rasayan India Limited,ANURAS,0.0,-0.2893887424722659,-10.756331346180005,1.6666666666666667,0.016378042638482974,-0.303097196654261,0.6266519063792174,-0.7198929527207849,-0.6518993839835729,-0.06730417515807059,-0.08380919420891726,-0.7033967170485941,0.21931296788410817
Apeejay Surrendra Park Hotels Limited,PARKHOTELS,1.0847457627118644,-0.650043209522368,0.4427156171362558,-0.3333333333333333,0.31023982266043326,6.069122316592789,0.5838545645805343,1.9259589652096345,1.7502908966461328,0.17019386528714028,-0.1253388706235219,8.161222168048107,-0.6591964811475176
Aptus Value Housing Finance India Limited,APTUS,-0.4067796610169492,0.0566332655398788,-7.808367207130951,1.6666666666666667,0.31643838452971396,0.020550968617158646,4.921985648070966,0.04030492255291541,0.6941649555099246,1.1353921722318028,-0.17448232104747063,-0.940029254022428,0.17583653186692355
Archean Chemical Industries Limited,ACI,-0.4067796610169492,0.1790667968388351,0.43860041037225983,1.3333333333333333,-0.8736188556627963,-0.7648820325187531,1.2277166107226403,0.8733273862622657,0.19409650924024646,0.4350995453832893,0.8086174078560305,-0.34714773281326167,-0.33841553762599225
Arisinfra Solutions Limited,ARISINFRA,-1.2203389830508475,-0.34189817682591805,1.076457458790025,-0.3333333333333333,0.13390155464419892,8.157117662686192,-0.5681128582992304,-1.5993025707566297,-0.6733915126625599,1.2511104143805198,-0.2818826786641287,0.6201852754753779,-0.357071808172439
Arkade Developers Limited,ARKADE,1.152542372881356,-0.8139346413907919,1.2409049790852418,-0.3333333333333333,0.7581929718754926,-1.350848505386889,1.021647420039649,0.6188468088557295,0.7563141683778234,-0.12371322568845673,4.876103132029764,-0.25873557614171955,-0.5502638173276179
Ather Energy Limited,ATHERENERG,-0.6779661016949152,-0.025074056996430897,0.7923030727347782,0.0,2.2168841752986053,-1.490702117026602,-3.90136568163283,-2.108101532722407,-1.512542778918549,0.6846684433296758,-0.48500317240583724,-0.05590768730700476,0.5633643094605577
Atlanta Electricals Limited,ATLANTAELE,1.0169491525423728,0.7098243410171876,-0.5613293392693619,-0.3333333333333333,0.4898863666264644,0.2551516442806856,0.20137584006869402,1.9259589652096345,1.7502908966461328,-0.015153890369441262,-0.07042740958643354,0.7554038680318542,0.04149742746244757
Avalon Technologies Limited,AVALON,0.2711864406779661,0.23828358856881215,-0.45235129257820283,1.6666666666666667,-0.19334478456154167,-0.23340413409297928,-0.19327205637625272,0.6738301840888818,0.18040725530458576,0.7978784553482784,-0.034550383572705734,0.28733950918251266,-0.056457291502820216
