COMPANY NAME,Symbol,Company_Age,Log_Issue_Price,Range_Width_pct,Days_to_List,Revenue_CAGR,PAT_CAGR,Avg_Operating_Margin,Avg_ROE_pct,Avg_ROCE_pct,Avg_DE_pct,Avg_Interest_Coverage,Avg_Assets_Turnover,Log_Latest_Revenue,Ind_Financial Services,Ind_Healthcare & Pharmaceuticals,Ind_Industrial Manufacturing & Capital Goods,Ind_Information Technology & Digital Platforms,"Ind_Infrastructure, Construction & Utilities","Ind_Materials, Energy & Commodities"
Brigade Hotel Ventures Limited,BRIGHOTEL,-0.8813559322033898,-1.1148676336797712,1.466258988378653,-1.0,1.0857708917566287,3.285896091805809,0.0020744478401057845,-1.4809017922309629,-0.7464921286789871,3.6997962063019294,-0.2845359635461729,-0.6487892085161711,-0.8567110749041142,0.0,0.0,0.0,0.0,1.0,0.0
Burger King India Limited,BURGERKING,0.0,-1.4598106817716026,-8.629600627966814,1.3333333333333333,-0.207466563556333,-0.23867891864076443,-1.1539471211709036,-2.1081015327224075,-1.512542778918549,0.6241051366462873,-0.3945896060448751,-0.12091662603607994,0.35485409333087237,0.0,0.0,0.0,0.0,0.0,0.0
C.E. Info Systems Limited,MAPMYINDIA,0.5423728813559322,0.9810216646866866,-4.66302101656626,0.6666666666666666,-0.003810081859607847,-0.2743130966481344,2.15537327784026,0.2534263238991159,0.3879363449691993,-0.548701468359722,3.635750129780239,-0.5577766942954656,-0.8797381276644908,0.0,0.0,0.0,1.0,0.0,0.0
CMS Info Systems Limited,CMSINFO,-0.3389830508474576,-0.3654193232276113,0.2643709388137241,0.6666666666666666,-0.4655992886545626,-0.34353443027693253,0.5436621237585972,0.09804557619008984,0.1309890485968515,-0.4963682917907718,1.0768299013670186,-0.05590768730700477,0.2635270339341633,1.0,0.0,0.0,0.0,0.0,0.0
CRIZAC LIMITED,CRIZAC,-0.5423728813559322,-0.2572463174275479,-0.24091260855441005,-0.3333333333333333,2.216884175298605,0.20672542175832267,1.884402110272119,1.9259589652096345,1.7502908966461328,-0.5639598683179182,7.586722039568553,0.3757516658540549,-0.3630539100979891,1.0,0.0,0.0,0.0,0.0,0.0
Campus Activewear Limited,CAMPUS,-0.3389830508474576,-0.10646537357135362,-0.5094473944678181,1.6666666666666667,-0.5411098805386887,-0.3285189027970193,0.00909734297612441,0.24596545292352576,0.24488364134154703,-0.208130846005121,0.12568495126031035,0.48496668291890144,0.01359104869748928,0.0,0.0,0.0,0.0,0.0,0.0
Canara HSBC Life Insurance Company Limited,CANHLIFE,-0.2711864406779661,-0.9751871357713799,1.7383845845065626,-1.0,-0.7079926072191274,1.2270765207820522,-0.8108033258860422,-0.7529802935690538,-1.3221252566735113,-0.5576109108010661,0.014218146161388999,-0.7814074435234846,1.3736475045571013,1.0,0.0,0.0,0.0,0.0,0.0
Canara Robeco Asset Management Company Limited,CRAMC,0.6779661016949152,-0.18660192692036118,-0.2687974440759825,-1.0,0.3711727772856334,0.2045496103718185,3.194283383115413,0.9881599221474331,1.0714407939767283,-0.5439201546741914,5.3603853031089574,-0.4303591743864782,-0.9863918775451507,1.0,0.0,0.0,0.0,0.0,0.0
Capillary Technologies India Limited,CAPILLARY,-0.6101694915254238,0.47944251054627324,-0.3584445322779802,-1.0,1.228651657432531,6.135528016211516,-1.4168712126068577,-2.1081015327224075,-1.512542778918549,-0.13774363797878453,-0.39643536944107977,-0.3523484479115878,-0.6240124952845217,0.0,0.0,0.0,1.0,0.0,0.0
Capital Small Finance Bank Limited,CAPITALSFB,0.2711864406779661,0.2992282212213992,-0.19789369563433207,-0.3333333333333333,-0.2779415515176787,-0.05301280561914631,0.8728320774213782,-0.3450652826210365,0.0,0.0,0.0,0.0,-0.8352985874739979,1.0,0.0,0.0,0.0,0.0,0.0
CarTrade Tech Limited,CARTRADE,0.2033898305084746,1.367694192142708,-7.661553343545891,1.0,0.16183230398285622,5.430525960364643,0.042804329719550484,-1.0546589895385616,-1.0458761122518823,-0.5257616136280504,0.14829555286381735,-0.8802210303916791,-0.5145930291696291,0.0,0.0,0.0,1.0,0.0,0.0
Carraro India Limited,CARRARO,0.4067796610169492,0.6507335220555319,0.3190022137939454,0.0,-0.5196504312104522,0.5923629841140937,-0.4329258497647222,0.06074122131214018,-0.022193702943189546,0.0812562052568325,-0.02289900213416389,0.9790346172598736,0.18822847659198247,0.0,0.0,1.0,0.0,0.0,0.0
Ceigall India Limited,CEIGALL,0.06779661016949153,0.16629043612117017,0.6390243208476709,-1.0,0.7893105685073651,-0.002517664435345301,0.1772986446949286,0.7028627037547639,0.40696440793976735,0.5900088833150443,0.054046259445117394,0.16512270437185117,0.6101378977049668,0.0,0.0,0.0,0.0,1.0,0.0
Cello World Limited,CELLO,-1.0169491525423728,0.5793578573930045,-0.5368877608962278,-0.3333333333333333,-0.34200443428099325,-0.28475598093672394,0.6521607775530687,1.7764171600032441,1.5385181382614646,0.7424361185138738,7.586722039568553,0.10011376564277585,0.21782367169594646,0.0,0.0,0.0,0.0,0.0,0.0
Chemplast Sanmar Limited,CHEMPLASTS,1.2203389830508475,0.4239841405668552,-7.677865248237391,2.0,-0.8736188556627961,-1.490702117026602,-0.47402223531783333,-1.0042170140296816,-0.7122689938398358,0.6279197366358366,-0.2804983561169752,-0.12871769868356914,0.6407967002777485,0.0,0.0,0.0,0.0,0.0,1.0
